la,lo,s
"63.083","25.867","29150"
"63.017","27.8","29170"
"62.683","30.95","29190"
"62.883","21.1","29210"
"62.533","24.017","29240"
"62.667","29.633","29290"
"62.4","25.683","29350"
"62.767","30.967","29390"
"61.85","22.467","29420"
"61.45","23.75","29430"
"61.417","23.583","29440"
"61.85","24.8","29450"
"61.733","27.3","29470"
"61.95","28.95","29480"
"61.8","29.317","29490"
"61.467","21.8","29520"
"60.983","24.45","29530"
"61.05","28.2","29580"
"61.133","21.367","29610"
"60.817","23.5","29630"
"60.717","21.017","29640"
"60.967","25.633","29650"
"60.9","26.933","29660"
"60.283","27.183","29670"
"60.117","19.9","29700"
"60.15","19.867","29710"
"60.517","22.267","29720"
"60.4","23.767","29730"
"60.317","24.967","29740"
"60.25","25.05","29750"
"60.367","26.967","29760"
"59.967","19.967","29800"
"59.783","21.383","29810"
"59.767","22.95","29820"
"59.933","24.017","29840"
"60.1","24.917","29860"
"60.1","25.067","29880"
"60.3","20.75","29900"
"60.85","-0.883","30010"
"59.883","-1.3","30030"
"60.533","-1.383","30040"
"60.133","-1.183","30050"
"60.45","-1.267","30060"
"59.533","-1.633","30080"
"59.083","-4.4","30100"
"60.15","-2.067","30130"
"58.95","-2.9","30170"
"57.467","-7.367","30220"
"57.333","-7.367","30230"
"56.967","-6.683","30240"
"58.517","-6.267","30250"
"58.217","-6.317","30260"
"57.417","-6.783","30280"
"57.867","-5.817","30320"
"57.25","-5.8","30370"
"58.633","-5","30490"
"57.267","-4.483","30570"
"57.683","-4.167","30580"
"57.533","-4.05","30590"
"57.867","-3.767","30610"
"57.817","-3.967","30620"
"57.2","-3.833","30630"
"57.65","-3.567","30660"
"57.717","-3.317","30680"
"57.35","-3.35","30700"
"58.45","-3.083","30750"
"56.683","-2.45","30890"
"57.2","-2.217","30910"
"57.5","-1.767","30920"
"57.683","-2","30930"
"57.7","-2.117","30940"
"56.5","-6.883","31000"
"55.667","-6.5","31020"
"55.683","-6.25","31050"
"55.917","-6.133","31060"
"55.433","-5.7","31110"
"56.417","-5.467","31140"
"55","-5.15","31180"
"54.633","-4.85","31310"
"54.85","-4.95","31320"
"56.25","-4.717","31330"
"55.9","-4.533","31340"
"55.5","-4.583","31350"
"55.517","-4.583","31360"
"54.7","-4.417","31370"
"55.967","-4.8","31380"
"55.6","-4.217","31390"
"55.433","-5.683","31394"
"55.867","-4.433","31400"
"55.867","-4.267","31450"
"55.05","-3.65","31540"
"-67.767","-68.917","31590"
"55.95","-3.35","31600"
"55.317","-3.2","31620"
"56.45","-3.017","31634"
"55.05","-2.55","31650"
"55.933","-3.35","31660"
"56.083","-2.633","31670"
"56.4","-2.867","31710"
"56.3","-2.583","31740"
"55.367","-2.517","31760"
"56.433","-2.4","31770"
"55.917","-2.133","31850"
"55.583","-1.65","31900"
"54.083","-4.633","32040"
"54.417","-4.367","32080"
"54.933","-3.15","32090"
"54.517","-3.633","32110"
"54.767","-3.317","32150"
"54.933","-2.95","32220"
"55.05","-2.55","32240"
"55.017","-1.867","32380"
"55.417","-1.6","32400"
"55.033","-1.683","32431"
"55.033","-1.683","32433"
"-67.767","-68.917","32440"
"54.967","-1.617","32450"
"54.983","-1.6","32460"
"54.3","-1.533","32570"
"54.133","-1.417","32610"
"55.017","-1.417","32620"
"54.5","-1.417","32635"
"54.2","-1.383","32643"
"54.05","-1.25","32660"
"54.567","-0.867","32750"
"54.367","-0.667","32810"
"54.483","-0.6","32820"
"54.1","-0.167","32920"
"53.25","-4.533","33020"
"-67.767","-68.917","33110"
"53.5","-3.067","33160"
"53.767","-3.033","33180"
"53.167","-2.983","33210"
"53.55","-2.917","33220"
"53.333","-2.85","33230"
"53.333","-2.85","33233"
"53.133","-1.983","33300"
"53.35","-2.283","33340"
"53.483","-2.25","33350"
"53.033","-2.083","33380"
"53.65","-1.833","33430"
"53.817","-1.867","33440"
"53.617","-1.667","33450"
"53.867","-1.65","33463"
"53.8","-1.55","33470"
"53.333","-2.15","33480"
"53","-1.25","33540"
"53.833","-1.2","33550"
"53.483","-1","33600"
"53.3","-0.55","33730"
"53.567","-0.35","33735"
"53.167","-0.517","33770"
"53.033","-0.5","33790"
"53.867","-0.433","33820"
"53.483","0.083","33850"
"53.667","0.117","33870"
"53.45","-0.2","33880"
"53.083","-0.167","33910"
"53.083","0.267","33920"
"-67.767","-68.917","33950"
"53.617","0.15","33960"
"52.75","-4.8","34000"
"53.483","1","34054"
"52.8","-2.667","34140"
"52.833","-1.317","34185"
"52.733","-0.65","34530"
"52.617","-0.467","34620"
"52.867","0.15","34690"
"52.65","0.567","34820"
"52.85","0.767","34873"
"52.633","1.317","34920"
"52.833","1.333","34940"
"52.767","1.35","34950"
"52.683","1.683","34960"
"52.583","1.717","34970"
"52.133","-4.567","35020"
"52.433","-3.117","35110"
"52.083","-2.8","35220"
"52.117","-2.3","35270"
"52.133","-2.033","35280"
"52.483","-1.933","35310"
"52.45","-1.733","35340"
"52.483","-1.683","35350"
"52.367","-1.467","35413"
"52.217","-0.483","35580"
"52.1","-0.417","35590"
"52.367","-0.217","35621"
"52.367","-0.217","35623"
"52.35","-0.117","35660"
"55.683","-6.25","35661"
"52.2","0.167","35715"
"52.367","0.483","35770"
"52.367","0.483","35771"
"52.367","0.483","35773"
"52.417","0.567","35830"
"52.4","0.567","35831"
"52.4","0.567","35833"
"52.333","0.767","35860"
"52.317","0.917","35881"
"52.117","0.967","35900"
"52.083","1.4","35951"
"52.083","1.4","35953"
"52.133","1.433","35961"
"52.133","1.433","35963"
"51.883","-5.117","36030"
"51.7","-5.05","36040"
"51.717","-4.367","36050"
"51.567","-3.983","36090"
"51.817","-3.867","36110"
"51.633","-3.3","36140"
"51.517","-2.583","36280"
"51.867","-2.217","36330"
"51.883","-2.167","36333"
"51.683","-1.783","36440"
"51.75","-1.583","36490"
"51.683","-1.317","36530"
"51.933","-1.25","36551"
"51.933","-1.25","36553"
"51.617","-1.083","36580"
"51.683","-0.8","36600"
"-67.767","-68.917","36690"
"51.55","-0.417","36720"
"51.883","-0.367","36731"
"51.867","-0.367","36733"
"51.883","0.233","36830"
"51.883","0.45","36840"
"51.967","0.5","36880"
"51.567","0.7","36911"
"51.567","0.683","36913"
"51.55","0.833","36930"
"51.85","1.283","36960"
"51.167","-4.65","37020"
"51.017","-4.533","37030"
"50.983","-4.467","37040"
"51.083","-4.15","37070"
"51","-3.483","37110"
"51.2","-3.533","37120"
"51.4","-3.35","37150"
"51.4","-3.433","37160"
"51.483","-3.183","37170"
"51.383","-2.717","37243"
"51.467","-2.6","37260"
"51.5","-1.983","37400"
"51.2","-1.8","37430"
"51.167","-1.75","37460"
"51.15","-1.567","37490"
"51.233","-0.95","37610"
"51.383","-0.783","37630"
"51.333","0.033","37663"
"51.283","-0.767","37680"
"51.5","0.05","37683"
"51.233","-0.383","37690"
"51.483","-0.45","37720"
"51.467","-0.317","37750"
"51.15","-0.183","37760"
"51.517","-0.117","37780"
"51.517","-0.1","37790"
"51.433","0.383","37860"
"51.283","0.417","37871"
"51.45","0.75","37910"
"51.15","1.383","37940"
"51.133","1.35","37960"
"51.35","1.367","37970"
"49.983","-6.317","38020"
"49.917","-6.3","38030"
"49.933","-6.3","38040"
"50.033","-5.667","38060"
"50.217","-5.317","38080"
"50.083","-5.25","38090"
"50.15","-5.067","38100"
"49.95","-5.2","38140"
"49.967","-5.2","38150"
"50.433","-5","38170"
"50.35","-4.117","38270"
"50.417","-4.1","38273"
"50.933","-3.983","38300"
"50.2","-3.717","38340"
"50.733","-3.417","38390"
"50.867","-3.233","38400"
"51","-2.633","38530"
"50.517","-2.45","38550"
"50.517","-2.45","38570"
"50.567","-2.45","38580"
"50.783","-1.833","38620"
"-67.767","-68.917","38640"
"50.9","-1.4","38650"
"50.583","-1.3","38660"
"-67.767","-68.917","38710"
"50.8","-1.217","38740"
"50.833","-0.283","38760"
"50.817","-0.25","38790"
"50.783","0.05","38800"
"50.9","0.317","38820"
"50.867","0.333","38840"
"50.867","0.633","38860"
"50.917","0.967","38880"
"49.433","-2.6","38940"
"49.217","-2.2","38950"
"54.7","-7.583","39040"
"54.667","-7.317","39050"
"55.017","-7.233","39060"
"55.033","-7.15","39084"
"54.65","-6.217","39170"
"54.483","-6.1","39200"
"54.6","-5.883","39240"
"54.667","-5.667","39270"
"54.85","-5.8","39280"
"51.8","-8.25","39520"
"51.933","-10.25","39530"
"51.85","-8.483","39550"
"52.25","-6.333","39570"
"52.667","-7.267","39600"
"52.7","-8.917","39620"
"53.283","-9.017","39640"
"53.083","-7.883","39650"
"53.3","-6.433","39670"
"53.433","-6.25","39690"
"53.717","-8.983","39700"
"53.533","-7.367","39710"
"53.9","-8.817","39730"
"54.183","-7.233","39740"
"54.233","-10","39760"
"55.367","-7.333","39800"
"64.9","-23.933","40040"
"66.15","-23.25","40050"
"65.083","-22.733","40130"
"63.817","-22.717","40140"
"63.967","-22.6","40180"
"66.417","-22.383","40230"
"64.132","-21.9","40300"
"63.867","-21.15","40380"
"65.667","-20.3","40450"
"63.4","-20.283","40480"
"65.7","-19.617","40530"
"64.867","-19.567","40560"
"65.683","-18.083","40630"
"63.783","-18.067","40640"
"66.533","-18.017","40650"
"66.45","-15.95","40770"
"64.3","-15.217","40820"
"65.283","-14.4","40890"
"65.266","-13.583","40970"
"76.5","-69","42000"
"76.533","-68.75","42020"
"69.233","-51.067","42022"
"65.417","-52.933","42040"
"69.333","-53.583","42180"
"68.7","-52.85","42200"
"69.233","-51.067","42210"
"66.917","-53.667","42300"
"67.017","-50.7","42310"
"66.95","-53.717","42340"
"66.633","-52.867","42350"
"64.167","-51.75","42500"
"62","-49.667","42600"
"61.233","-48.1","42610"
"61.133","-45.433","42700"
"60.717","-46.05","42720"
"60.9","-45.967","42801"
"76.767","-18.667","43200"
"74.3","-20.217","43300"
"70.483","-21.95","43390"
"70.417","-21.967","43400"
"67.783","-32.3","43500"
"65.6","-37.633","43600"
"60.05","-43.167","43900"
"61.4","-6.667","60090"
"62.067","-7.283","60100"
"62.017","-6.767","60110"
"62.317","-6.317","60120"
"57.117","8.6","60210"
"57.067","8.717","60240"
"57.1","9.85","60300"
"57.733","10.633","60410"
"56.567","10.1","60490"
"56.7","8.217","60520"
"56","8.132","60580"
"56.05","8.1","60590"
"56.3","9.117","60600"
"56.55","9.167","60620"
"56.317","10.633","60700"
"56.45","10.967","60710"
"56.083","10.133","60740"
"56.717","11.517","60790"
"55.533","8.567","60800"
"55.5","8.4","60890"
"55.183","8.567","60960"
"55.733","9.167","61040"
"55.567","7.333","61070"
"55.233","9.267","61100"
"54.967","9.783","61180"
"54.85","9.983","61190"
"55.483","10.333","61200"
"55.25","9.883","61230"
"55.017","10.567","61240"
"54.833","11.333","61410"
"54.7","11.45","61430"
"54.8","12.783","61470"
"54.567","11.967","61490"
"55.083","11.783","61500"
"55.733","11.6","61560"
"55.75","10.867","61590"
"55.767","12.333","61600"
"56.017","11.283","61690"
"55.583","12.133","61700"
"55.4","12.15","61740"
"54.95","12.533","61790"
"55.617","12.65","61800"
"55.067","14.75","61900"
"55.317","15.183","61910"
"55.3","14.783","61930"
"55","15.083","61990"
"52.033","4.35","62000"
"54.1","-4","62060"
"52.183","4.417","62100"
"52.467","4.567","62250"
"53.5","3.15","62300"
"52.917","4.783","62350"
"54.85","4.7","62390"
"52.3","4.767","62400"
"53.25","4.917","62420"
"53.5","3.15","62450"
"53.367","5.217","62500"
"53.383","5.35","62510"
"52.1","5.183","62600"
"52.133","5.283","62650"
"52.883","5.35","62670"
"52.533","5.433","62680"
"52.45","5.533","62690"
"51.45","3.6","62693"
"53.217","5.767","62700"
"52.067","5.883","62750"
"52.75","6.517","62790"
"53.133","6.583","62800"
"52.267","6.9","62900"
"51.65","2.567","63000"
"51.45","3.6","63100"
"51.933","3.667","63200"
"51.533","3.9","63230"
"51.65","3.933","63250"
"51.983","4.1","63300"
"51.45","4.333","63400"
"51.95","4.45","63440"
"51.967","4.933","63480"
"51.567","4.933","63500"
"51.45","5.417","63700"
"51.65","5.7","63750"
"51.2","5.767","63770"
"50.917","5.783","63800"
"51.083","2.65","64000"
"51.2","2.867","64070"
"51.233","2.917","64080"
"50.933","3.667","64280"
"51.183","3.817","64310"
"50.567","3.833","64320"
"50.8","4.35","64470"
"50.467","4.45","64490"
"51.2","4.467","64500"
"50.9","4.533","64510"
"50.233","4.65","64560"
"50.75","4.767","64580"
"51","5.067","64650"
"50.8","5.2","64700"
"50.033","5.4","64760"
"50.65","5.45","64780"
"50.633","5.467","64785"
"51.167","5.467","64790"
"50.933","5.5","64810"
"50.483","5.917","64900"
"50.933","3.65","64901"
"50.467","6.183","64960"
"49.617","6.217","65900"
"47.567","7.683","66000"
"47.083","6.783","66045"
"46.817","6.95","66100"
"47.433","6.95","66160"
"47.683","8.617","66200"
"46.917","7.5","66300"
"46.917","7.483","66303"
"46.533","9.883","66304"
"47.383","8.083","66330"
"47.25","7.783","66430"
"47.383","8.567","66600"
"47.183","7.417","66621"
"47.483","8.533","66700"
"46.867","8.633","66720"
"47.25","9.35","66800"
"47.483","9.55","66811"
"46.25","6.133","67000"
"46.333","6.917","67120"
"46.217","7.333","67200"
"46.667","7.867","67340"
"46.65","8.617","67500"
"46.517","8.683","67530"
"46.167","8.783","67600"
"46.167","8.883","67620"
"46","8.967","67700"
"46.467","9.183","67830"
"46.867","9.533","67860"
"46.35","10.067","67940"
"47.133","9.517","69900"
"50.733","1.6","70020"
"50.517","1.617","70030"
"50.133","1.833","70050"
"51.05","2.333","70100"
"50.567","3.1","70150"
"50.217","3.15","70170"
"49.717","-1.933","70200"
"49.65","-1.483","70240"
"49.183","-0.45","70270"
"49.5","0.067","70280"
"49.35","-0.767","70290"
"49.367","0.167","70310"
"49.383","1.183","70370"
"49.017","1.217","70380"
"49.933","1.1","70400"
"49.533","0.083","70460"
"49.467","2.117","70550"
"49.25","2.517","70570"
"49.817","3.2","70610"
"49.3","4.033","70700"
"49.783","4.633","70750"
"49.233","5.683","70881"
"49.033","5.866","70891"
"49.083","6.133","70900"
"48.983","6.25","70930"
"48.483","-5.05","71000"
"48.033","-4.733","71030"
"48.517","-4.15","71060"
"48.683","-4.333","71070"
"48.283","-4.433","71090"
"48.45","-4.417","71100"
"48.833","-3.467","71170"
"48.75","-3.467","71180"
"48.233","-3.3","71190"
"48.533","-2.85","71200"
"48.85","-3","71210"
"48.583","-2.067","71250"
"48.717","-1.85","71270"
"48.067","-1.733","71300"
"48.833","-1.617","71330"
"48.433","0.1","71390"
"48.067","1.383","71400"
"48.467","1.5","71430"
"48.767","2","71450"
"48.767","1.1","71460"
"48.767","2.2","71470"
"48.717","2.383","71490"
"48.967","2.433","71500"
"48.617","2.683","71530"
"48.817","2.333","71560"
"49.017","2.533","71570"
"48.783","4.183","71650"
"48.333","4.017","71680"
"48.633","4.9","71690"
"49.933","1.1","71790"
"48.683","6.217","71800"
"48.583","5.967","71810"
"49.933","1.1","71860"
"48.55","7.633","71900"
"47.917","7.4","71970"
"47.8","-4.367","72000"
"47.967","-4.167","72010"
"47.767","-3.45","72050"
"47.3","-3.167","72070"
"47.317","-2.167","72170"
"47.15","-1.6","72220"
"47.483","-0.6","72300"
"47.933","0.2","72350"
"47.45","0.733","72400"
"47.983","1.783","72490"
"47.067","2.367","72550"
"47.033","5.417","72553"
"47.05","2.633","72554"
"47.05","2.65","72570"
"47","3.1","72600"
"47.8","3.55","72650"
"47.067","3.933","72700"
"47.267","5.083","72800"
"47.85","5.333","72830"
"47.25","5.983","72880"
"47.8","6.383","72920"
"47.633","6.883","72950"
"47.6","7.517","72990"
"46.7","-2.333","73000"
"46.7","-1.383","73060"
"46.05","-1.417","73140"
"46.15","-1.15","73150"
"46.15","-1.15","73160"
"49.933","1.1","73175"
"46.317","-0.4","73300"
"46.583","0.3","73350"
"46.85","1.717","73540"
"46.167","3.4","73740"
"46.417","4.017","73790"
"46.3","4.8","73850"
"47.033","5.417","73860"
"47.55","-0.3","73901"
"45.7","-1.233","74000"
"45.667","-0.317","74120"
"45.867","1.183","74340"
"45.15","1.467","74380"
"45.783","3.167","74600"
"45.05","3.9","74700"
"45.083","3.767","74710"
"45.533","4.3","74750"
"43.9","4.9","74760"
"45.717","4.933","74800"
"45.733","5.083","74810"
"45.983","5.333","74820"
"45.367","5.333","74860"
"45.633","5.867","74910"
"45.933","6.1","74940"
"45.617","6.767","74970"
"44.633","-1.25","75000"
"44.533","-1.133","75020"
"44.433","-1.25","75030"
"44.833","-0.683","75100"
"44.183","0.6","75240"
"44.817","0.517","75300"
"44.75","1.4","75350"
"44.033","1.383","75400"
"44.883","2.417","75490"
"44.4","2.483","75520"
"44.117","3.017","75580"
"43.9","4.9","75630"
"44.583","4.733","75770"
"44.133","4.833","75790"
"44.067","6","75880"
"44.567","6.5","75910"
"43.4","-1.683","76000"
"43.467","-1.533","76020"
"43.683","-1.067","76030"
"43.917","-0.5","76070"
"43.383","-0.417","76100"
"43.183","0","76210"
"43.683","0.6","76220"
"43","1.1","76270"
"43.633","1.367","76300"
"43.533","1.367","76310"
"43.917","2.117","76320"
"43.217","2.317","76350"
"43.317","3.35","76380"
"43.4","3.683","76410"
"43.317","3.35","76415"
"43.583","3.967","76430"
"43.867","4.4","76450"
"43.75","4.417","76460"
"43.517","4.917","76470"
"43.45","5.233","76500"
"43.267","5.3","76520"
"43.333","5.05","76530"
"43.1","5.933","76600"
"43.083","5.933","76610"
"43.1","6.15","76670"
"43","6.233","76700"
"43.533","6.95","76840"
"43.65","7.2","76900"
"43.683","7.333","76950"
"42.733","2.867","77470"
"42.517","3.133","77490"
"42.633","8.917","77530"
"42.533","8.8","77540"
"42.517","8.683","77560"
"41.917","8.8","77610"
"41.917","9.4","77650"
"41.6","9.367","77680"
"41.367","9.167","77700"
"41.5","9.1","77800"
"43","9.35","77850"
"42.55","9.483","77900"
"42.8","9.483","77910"
"32.7","-16.767","80001"
"43.367","-8.417","80010"
"43.3","-8.383","80020"
"43.55","-6.033","80110"
"37.133","-3.633","80144"
"43.35","-5.867","80150"
"43.433","-3.817","80210"
"43.483","-3.8","80230"
"43.3","-2.9","80250"
"43.3","-2.033","80270"
"43.35","-1.8","80290"
"42.9","-8.433","80420"
"42.233","-8.633","80450"
"42.583","-5.65","80550"
"42.35","-3.633","80750"
"42.883","-2.717","80800"
"42.45","-2.333","80840"
"42.767","-1.633","80850"
"41.717","-4.85","81400"
"41.65","-4.767","81410"
"41.667","-1","81600"
"41.667","-1.05","81605"
"41.667","-1.033","81606"
"41.15","1.167","81750"
"41.517","2.1","81763"
